GD_NO,GO_TO_LINK,CATEGORY_CD
979833495,http://gd.image-qoo10.jp/ai/970/604/4151604970_00.g_0-w-st_g.jpg,jacket
979896530,http://gd.image-qoo10.jp/ai/339/192/4120192339_00.g_0-w-st_g.jpg,jacket
979896573,http://gd.image-qoo10.jp/ai/113/361/4548361113_00.g_0-w-st_g.jpg,jacket
979896588,http://gd.image-qoo10.jp/ai/332/923/4106923332_00.g_0-w-st_g.jpg,jacket
979896659,http://gd.image-qoo10.jp/ai/743/923/4106923743_00.g_0-w-st_g.jpg,jacket
979896719,http://gd.image-qoo10.jp/ai/085/924/4106924085_00.g_0-w-st_g.jpg,jacket
979896822,http://gd.image-qoo10.jp/ai/423/793/4626793423_00.g_0-w-st_g.jpg,jacket
1002781801,http://gd.image-qoo10.jp/ai/211/878/5324878211_00.g_0-w-st_g.jpg,jacket
1002845309,http://gd.image-qoo10.jp/ai/105/703/4683703105_00.g_0-w-st_g.jpg,jacket
975982219,http://gd.image-qoo10.jp/ai/398/043/4104043398_00.g_0-w-st_g.jpg,shoe
976234001,http://gd.image-qoo10.jp/ai/366/832/4065832366_00.g_0-w-st_g.jpg,shoe
978478374,http://gd.image-qoo10.jp/ai/700/086/4959086700_00.g_0-w-st_g.jpg,shoe
979116589,http://gd.image-qoo10.jp/ai/784/788/5157788784_00.g_0-w-st_g.jpg,shoe
979116593,http://gd.image-qoo10.jp/ai/337/011/4690011337_00.g_0-w-st_g.jpg,shoe
979849955,http://gd.image-qoo10.jp/ai/597/434/4106434597_00.g_0-w-st_g.jpg,shoe
979850099,http://gd.image-qoo10.jp/ai/196/436/4106436196_00.g_0-w-st_g.jpg,shoe
979882564,http://gd.image-qoo10.jp/ai/895/828/4106828895_00.g_0-w-st_g.jpg,shoe
979890068,http://gd.image-qoo10.jp/ai/450/815/5046815450_00.g_0-w-st_g.jpg,shoe
979890074,http://gd.image-qoo10.jp/ai/000/817/5046817000_00.g_0-w-st_g.jpg,shoe
979890075,http://gd.image-qoo10.jp/ai/707/272/4259272707_00.g_0-w-st_g.jpg,shoe
979897447,http://gd.image-qoo10.jp/ai/217/414/4153414217_00.g_0-w-st_g.jpg,shoe
979924315,http://gd.image-qoo10.jp/ai/612/414/4107414612_00.g_0-w-st_g.jpg,shoe
979924331,http://gd.image-qoo10.jp/ai/693/414/4107414693_00.g_0-w-st_g.jpg,shoe
979924342,http://gd.image-qoo10.jp/ai/754/414/4107414754_00.g_0-w-st_g.jpg,shoe
979928400,http://gd.image-qoo10.jp/ai/882/097/4783097882_00.g_0-w-st_g.jpg,shoe
979928401,http://gd.image-qoo10.jp/ai/280/931/4772931280_00.g_0-w-st_g.jpg,shoe
979928403,http://gd.image-qoo10.jp/ai/580/446/4107446580_00.g_0-w-st_g.jpg,shoe
979928405,http://gd.image-qoo10.jp/ai/589/446/4107446589_00.g_0-w-st_g.jpg,shoe
979929821,http://gd.image-qoo10.jp/ai/156/124/4783124156_00.g_0-w-st_g.jpg,shoe
979929822,http://gd.image-qoo10.jp/ai/433/453/4107453433_00.g_0-w-st_g.jpg,shoe
980174372,http://gd.image-qoo10.jp/ai/424/641/4109641424_00.g_0-w-st_g.jpg,shoe
980174373,http://gd.image-qoo10.jp/ai/687/060/4783060687_00.g_0-w-st_g.jpg,shoe
980174375,http://gd.image-qoo10.jp/ai/448/641/4109641448_00.g_0-w-st_g.jpg,shoe
980174377,http://gd.image-qoo10.jp/ai/780/919/4772919780_00.g_0-w-st_g.jpg,shoe
980174382,http://gd.image-qoo10.jp/ai/724/641/4109641724_00.g_0-w-st_g.jpg,shoe
980174384,http://gd.image-qoo10.jp/ai/771/844/4772844771_00.g_0-w-st_g.jpg,shoe
980174385,http://gd.image-qoo10.jp/ai/329/824/4772824329_00.g_0-w-st_g.jpg,shoe
980174387,http://gd.image-qoo10.jp/ai/250/471/4335471250_00.g_0-w-st_g.jpg,shoe
980174390,http://gd.image-qoo10.jp/ai/043/642/4109642043_00.g_0-w-st_g.jpg,shoe
980174391,http://gd.image-qoo10.jp/ai/843/791/4772791843_00.g_0-w-st_g.jpg,shoe
982703925,http://gd.image-qoo10.jp/ai/633/151/4153151633_00.g_0-w-st_g.jpg,shoe
985971939,http://gd.image-qoo10.jp/ai/399/654/4255654399_00.g_0-w-st_g.jpg,shoe
985971946,http://gd.image-qoo10.jp/ai/949/655/4251655949_00.g_0-w-st_g.jpg,shoe
986602413,http://gd.image-qoo10.jp/ai/112/561/4215561112_00.g_0-w-st_g.jpg,shoe
988064622,http://gd.image-qoo10.jp/ai/520/260/4251260520_00.g_0-w-st_g.jpg,shoe
988064688,http://gd.image-qoo10.jp/ai/889/260/4251260889_00.g_0-w-st_g.jpg,shoe
988064690,http://gd.image-qoo10.jp/ai/900/260/4251260900_00.g_0-w-st_g.jpg,shoe
988064692,http://gd.image-qoo10.jp/ai/910/260/4251260910_00.g_0-w-st_g.jpg,shoe
988064693,http://gd.image-qoo10.jp/ai/917/260/4251260917_00.g_0-w-st_g.jpg,shoe
988064697,http://gd.image-qoo10.jp/ai/936/260/4251260936_00.g_0-w-st_g.jpg,shoe
